CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,Cluster,Marketing Strategy
123,Female,40,69,58,1,Offer loyalty programs and personalized deals.
124,Male,39,69,91,1,Offer loyalty programs and personalized deals.
125,Female,23,70,29,2,Focus on budget-friendly promotions and discounts.
126,Female,31,70,77,1,Offer loyalty programs and personalized deals.
127,Male,43,71,35,0,Target with premium products & exclusive discounts.
128,Male,40,71,95,1,Offer loyalty programs and personalized deals.
129,Male,59,71,11,0,Target with premium products & exclusive discounts.
130,Male,38,71,75,1,Offer loyalty programs and personalized deals.
131,Male,47,71,9,0,Target with premium products & exclusive discounts.
132,Male,39,71,75,1,Offer loyalty programs and personalized deals.
133,Female,25,72,34,2,Focus on budget-friendly promotions and discounts.
134,Female,31,72,71,1,Offer loyalty programs and personalized deals.
135,Male,20,73,5,2,Focus on budget-friendly promotions and discounts.
136,Female,29,73,88,1,Offer loyalty programs and personalized deals.
137,Female,44,73,7,0,Target with premium products & exclusive discounts.
138,Male,32,73,73,1,Offer loyalty programs and personalized deals.
139,Male,19,74,10,2,Focus on budget-friendly promotions and discounts.
140,Female,35,74,72,1,Offer loyalty programs and personalized deals.
141,Female,57,75,5,0,Target with premium products & exclusive discounts.
142,Male,32,75,93,1,Offer loyalty programs and personalized deals.
143,Female,28,76,40,2,Focus on budget-friendly promotions and discounts.
144,Female,32,76,87,1,Offer loyalty programs and personalized deals.
145,Male,25,77,12,0,Target with premium products & exclusive discounts.
146,Male,28,77,97,1,Offer loyalty programs and personalized deals.
147,Male,48,77,36,0,Target with premium products & exclusive discounts.
148,Female,32,77,74,1,Offer loyalty programs and personalized deals.
149,Female,34,78,22,0,Target with premium products & exclusive discounts.
150,Male,34,78,90,1,Offer loyalty programs and personalized deals.
151,Male,43,78,17,0,Target with premium products & exclusive discounts.
152,Male,39,78,88,1,Offer loyalty programs and personalized deals.
153,Female,44,78,20,0,Target with premium products & exclusive discounts.
154,Female,38,78,76,1,Offer loyalty programs and personalized deals.
155,Female,47,78,16,0,Target with premium products & exclusive discounts.
156,Female,27,78,89,1,Offer loyalty programs and personalized deals.
157,Male,37,78,1,0,Target with premium products & exclusive discounts.
158,Female,30,78,78,1,Offer loyalty programs and personalized deals.
159,Male,34,78,1,0,Target with premium products & exclusive discounts.
160,Female,30,78,73,1,Offer loyalty programs and personalized deals.
161,Female,56,79,35,0,Target with premium products & exclusive discounts.
162,Female,29,79,83,1,Offer loyalty programs and personalized deals.
163,Male,19,81,5,2,Focus on budget-friendly promotions and discounts.
164,Female,31,81,93,1,Offer loyalty programs and personalized deals.
165,Male,50,85,26,0,Target with premium products & exclusive discounts.
166,Female,36,85,75,1,Offer loyalty programs and personalized deals.
167,Male,42,86,20,0,Target with premium products & exclusive discounts.
168,Female,33,86,95,1,Offer loyalty programs and personalized deals.
169,Female,36,87,27,0,Target with premium products & exclusive discounts.
170,Male,32,87,63,1,Offer loyalty programs and personalized deals.
171,Male,40,87,13,0,Target with premium products & exclusive discounts.
172,Male,28,87,75,1,Offer loyalty programs and personalized deals.
173,Male,36,87,10,0,Target with premium products & exclusive discounts.
174,Male,36,87,92,1,Offer loyalty programs and personalized deals.
175,Female,52,88,13,0,Target with premium products & exclusive discounts.
176,Female,30,88,86,1,Offer loyalty programs and personalized deals.
177,Male,58,88,15,0,Target with premium products & exclusive discounts.
178,Male,27,88,69,1,Offer loyalty programs and personalized deals.
179,Male,59,93,14,0,Target with premium products & exclusive discounts.
180,Male,35,93,90,1,Offer loyalty programs and personalized deals.
181,Female,37,97,32,0,Target with premium products & exclusive discounts.
182,Female,32,97,86,1,Offer loyalty programs and personalized deals.
183,Male,46,98,15,0,Target with premium products & exclusive discounts.
184,Female,29,98,88,1,Offer loyalty programs and personalized deals.
185,Female,41,99,39,0,Target with premium products & exclusive discounts.
186,Male,30,99,97,1,Offer loyalty programs and personalized deals.
187,Female,54,101,24,0,Target with premium products & exclusive discounts.
188,Male,28,101,68,1,Offer loyalty programs and personalized deals.
189,Female,41,103,17,0,Target with premium products & exclusive discounts.
190,Female,36,103,85,1,Offer loyalty programs and personalized deals.
191,Female,34,103,23,0,Target with premium products & exclusive discounts.
192,Female,32,103,69,1,Offer loyalty programs and personalized deals.
193,Male,33,113,8,0,Target with premium products & exclusive discounts.
194,Female,38,113,91,1,Offer loyalty programs and personalized deals.
195,Female,47,120,16,0,Target with premium products & exclusive discounts.
196,Female,35,120,79,1,Offer loyalty programs and personalized deals.
197,Female,45,126,28,0,Target with premium products & exclusive discounts.
198,Male,32,126,74,1,Offer loyalty programs and personalized deals.
199,Male,32,137,18,1,Offer loyalty programs and personalized deals.
200,Male,30,137,83,1,Offer loyalty programs and personalized deals.
